case,cc3,country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,currency_crises,inflation_crises,banking_crisis,inflation_capped,exch_usd_capped
1,DZA,Algeria,1870,1,0.052264,0,0,0.0,3.441455696,0,0,0,1,3.441455696,0.052264
1,DZA,Algeria,1871,0,0.052798,0,0,0.0,14.14913958,0,0,0,0,14.14913958,0.052798
1,DZA,Algeria,1872,0,0.052274,0,0,0.0,-3.718592965,0,0,0,0,-3.718592965,0.052274
1,DZA,Algeria,1873,0,0.05168,0,0,0.0,11.20389701,0,0,0,0,11.20389701,0.05168
1,DZA,Algeria,1874,0,0.051308,0,0,0.0,-3.848560701,0,0,0,0,-3.848560701,0.051308
1,DZA,Algeria,1875,0,0.051546,0,0,0.0,-20.92417833,0,0,0,0,-20.92417833,0.051546
1,DZA,Algeria,1876,0,0.051867,0,0,0.0,-1.769547325,0,0,0,0,-1.769547325,0.051867
1,DZA,Algeria,1877,0,0.051867,0,0,0.0,29.11604525,0,0,1,0,29.11604525,0.051867
1,DZA,Algeria,1878,0,0.051948,0,0,0.0,-1.492537313,0,0,0,0,-1.492537313,0.051948
1,DZA,Algeria,1879,0,0.052029,0,0,0.0,-16.83135705,0,0,0,0,-16.83135705,0.052029
1,DZA,Algeria,1880,0,0.052356,0,0,0.0,3.881188119,0,0,0,0,3.881188119,0.052356
1,DZA,Algeria,1881,0,0.052029,0,0,0.0,12.61913839,0,0,0,0,12.61913839,0.052029
1,DZA,Algeria,1882,0,0.050761,0,0,0.0,-12.35612729,0,0,0,0,-12.35612729,0.050761
1,DZA,Algeria,1883,0,0.052002,0,0,0.0,-1.390498262,0,0,0,0,-1.390498262,0.052002
1,DZA,Algeria,1884,0,0.052165,0,0,0.0,-15.94202899,0,0,0,0,-15.94202899,0.052165
1,DZA,Algeria,1939,0,0.44903,0,0,0.0,9.756097561,0,0,0,0,9.756097561,0.44903
1,DZA,Algeria,1940,0,0.49189,0,0,0.0,22.22222222,0,0,1,0,22.22222222,0.49189
1,DZA,Algeria,1941,0,0.44937,0,0,0.0,16.36363636,0,0,0,0,16.36363636,0.44937
1,DZA,Algeria,1942,0,0.75,0,0,0.0,28.125,0,0,1,0,28.125,0.75
1,DZA,Algeria,1943,0,0.5,0,0,0.0,46.34146341,0,1,1,0,46.34146341,0.5
1,DZA,Algeria,1944,0,0.5,0,0,0.0,41.66666667,0,1,1,0,41.66666667,0.5
1,DZA,Algeria,1945,0,1.191,0,0,0.0,29.41176471,0,0,1,0,29.41176471,1.191
1,DZA,Algeria,1946,0,1.191,0,0,0.0,18.18181818,0,0,0,0,18.18181818,1.191
1,DZA,Algeria,1947,0,1.193,0,0,0.0,69.23076923,0,0,1,0,69.23076923,1.193
1,DZA,Algeria,1948,0,2.662,0,0,0.0,63.63636364,0,0,1,0,63.63636364,2.662
1,DZA,Algeria,1949,0,3.49,0,0,0.0,23.61111111,0,0,1,0,23.61111111,3.49
1,DZA,Algeria,1950,0,3.499,0,0,0.0,0.0,0,0,0,0,0.0,3.499
1,DZA,Algeria,1951,0,3.5,0,0,0.0,6.741573034,0,0,0,0,6.741573034,3.5
1,DZA,Algeria,1952,0,3.5,0,0,0.0,6.315789474,0,0,0,0,6.315789474,3.5
1,DZA,Algeria,1953,0,3.5,0,0,0.0,-0.99009901,0,0,0,0,-0.99009901,3.5
1,DZA,Algeria,1954,0,3.5,0,0,0.0,1.0,0,0,0,0,1.0,3.5
1,DZA,Algeria,1955,0,3.5,0,0,0.0,0.0,0,0,0,0,0.0,3.5
1,DZA,Algeria,1956,0,3.5,0,0,0.0,1.98019802,0,0,0,0,1.98019802,3.5
1,DZA,Algeria,1957,0,4.199,0,0,0.0,2.912621359,0,0,0,0,2.912621359,4.199
1,DZA,Algeria,1958,0,4.906,0,0,0.0,12.26415094,0,0,0,0,12.26415094,4.906
1,DZA,Algeria,1959,0,4.909,0,0,0.0,9.243697479,0,0,0,0,9.243697479,4.909
1,DZA,Algeria,1960,0,4.93706,0,0,0.0,5.384615385,0,1,0,0,5.384615385,4.93706
1,DZA,Algeria,1961,0,4.93706,0,0,0.0,2.919708029,0,0,0,0,2.919708029,4.93706
1,DZA,Algeria,1968,0,4.93706,0,0,0.0,6.599987838,1,0,0,0,6.599987838,4.93706
1,DZA,Algeria,1969,0,4.93706,0,0,0.0,2.626631862,1,0,0,0,2.626631862,4.93706
1,DZA,Algeria,1970,0,4.93706,0,0,0.0,3.656320975,1,0,0,0,3.656320975,4.93706
1,DZA,Algeria,1971,0,4.644,0,0,0.0,6.172816266,1,0,0,0,6.172816266,4.644
1,DZA,Algeria,1972,0,4.556,0,0,0.0,4.734228715,1,0,0,0,4.734228715,4.556
1,DZA,Algeria,1973,0,4.185,0,0,0.0,8.961134756,1,0,0,0,8.961134756,4.185
1,DZA,Algeria,1974,0,3.997,0,0,0.0,8.87917187,1,0,0,0,8.87917187,3.997
1,DZA,Algeria,1975,0,4.125,0,0,0.0,12.09893382,1,0,0,0,12.09893382,4.125
1,DZA,Algeria,1976,0,4.359,0,0,0.0,17.17351914,1,0,0,0,17.17351914,4.359
1,DZA,Algeria,1977,0,4.035,0,0,0.0,11.45037883,1,0,0,0,11.45037883,4.035
1,DZA,Algeria,1978,0,3.8345,0,0,0.0,9.668492611,1,0,0,0,9.668492611,3.8345
1,DZA,Algeria,1979,0,3.7555,0,0,0.0,14.60957788,1,0,0,0,14.60957788,3.7555
1,DZA,Algeria,1980,0,3.9715,0,0,0.0,9.668,1,0,0,0,9.668,3.9715
1,DZA,Algeria,1981,0,4.378,0,0,0.0,14.61,1,0,0,0,14.61,4.378
1,DZA,Algeria,1982,0,4.6355,0,0,0.0,6.593,1,0,0,0,6.593,4.6355
1,DZA,Algeria,1983,0,4.9165,0,0,0.0,7.835,1,0,0,0,7.835,4.9165
1,DZA,Algeria,1984,0,5.1227,0,0,0.0,6.31,1,0,0,0,6.31,5.1227
1,DZA,Algeria,1985,0,4.7728,0,0,0.0,10.432,1,0,0,0,10.432,4.7728
1,DZA,Algeria,1986,0,4.8235,0,0,0.0,14.007,1,0,0,0,14.007,4.8235
1,DZA,Algeria,1987,0,4.9363,0,0,0.0,5.857,1,0,0,0,5.857,4.9363
1,DZA,Algeria,1988,0,6.7308,0,0,0.0,5.938,1,1,0,0,5.938,6.7308
1,DZA,Algeria,1989,0,8.0324,0,0,0.0,9.172,1,1,0,0,9.172,8.0324
1,DZA,Algeria,1990,1,12.1908,0,0,0.0,9.272,1,1,0,1,9.272,12.1908
1,DZA,Algeria,1991,1,21.3919,0,1,0.23,25.9,1,1,1,1,25.9,21.3919
1,DZA,Algeria,1992,1,22.7814,0,1,0.23,31.7,1,0,1,1,31.7,22.7814
1,DZA,Algeria,1993,0,24.123,0,1,0.23,20.5,1,0,1,0,20.5,24.123
1,DZA,Algeria,1994,0,42.8925,0,1,0.23,29.0,1,1,1,0,29.0,42.8925
1,DZA,Algeria,1995,0,52.175,0,1,0.23,29.8,1,1,1,0,29.8,52.175
1,DZA,Algeria,1996,0,56.1859,0,1,0.23,18.7,1,0,0,0,18.7,56.1859
1,DZA,Algeria,1997,0,58.4139,0,0,0.0,5.7,1,0,0,0,5.7,58.4139
